Annotation,TermID,Value,TermValueID,,,,
Life Stage,1,Adult,2,,,,
Life Stage,1,Teneral,3,,,,
Life Stage,1,Pupa,4,,,,
Life Stage,1,Nymph,5,,,,
Life Stage,1,Larva,6,,,,
Life Stage,1,Egg,7,,,,
Life Stage,1,Juvenile,8,,,,
Life Stage,1,Subimago,16,,,,
Sex,9,Female,10,,,,
Sex,9,Male,11,,,,
Sex,9,Cannot Be Determined,20,,,,
Flowers and Fruits,12,Flowers,13,,,,
Flowers and Fruits,12,Fruits or Seeds,14,,,,
Flowers and Fruits,12,Flower Buds,15,,,,
Flowers and Fruits,12,No Flowers or Fruits,21,,,,
Alive or Dead,17,Alive,18,,,,
Alive or Dead,17,Dead,19,,,,
Alive or Dead,17,Cannot Be Determined,20,,,,
Evidence of Presence,22,Feather,23,,,,
Evidence of Presence,22,Organism,24,,,,
Evidence of Presence,22,Scat,25,,,,
Evidence of Presence,22,Track,26,,,,
Evidence of Presence,22,Bone,27,,,,
Evidence of Presence,22,Molt,28,,,,
Evidence of Presence,22,Gall,29,,,,
Evidence of Presence,22,Egg,30,,,,
Evidence of Presence,22,Hair,31,,,,
Evidence of Presence,22,Leafmine,32,,,,
Evidence of Presence,22,Construction,35,,,,
Established,33,Not Established,34,,,,
Leaves,36,Breaking Leaf Buds,37,,,,
Leaves,36,Green Leaves,38,,,,
Leaves,36,Colored Leaves,39,,,,
Leaves,36,No Live Leaves,40,,,,
