interactions-linked,mapped,mapped_to_interaction_type_label,values_count,mapped_to_interaction_type_id,name,description,users_count,id,uuid,interactions-s-afr,provided_interaction_type_label,allowed_values,provided_interaction_type_id
true,visits flowers of,,26772,,Visiting a flower of: (Interaction),"pollinating, thieving or eating flowers but associated with pollination.   (please add the url for the other observation)",26772,7459,02ece9bd-0bfb-4a73-a8f8-d68a1f7bcb47,true,,,
true,,,25236,,Passive Partner to: (Interaction),For the recording of passive partners.  This was added at request of site curators.,25236,8846,f2d3ae51-f806-471a-a5b5-99c6875906b0,true,,,
true,eats,,15137,,Eating: (Interaction),"eating, consuming, drinking, sucking  - (please add the url for the other observation)",15137,7460,910041db-d8fb-40e5-ae49-d97f4f04e1d0,true,,,
true,interacts with,,13158,,Associated with: (Interaction),Many behaviours like mobbing or chasing or interaction (please add the url for the other observation),13158,7464,977639e7-b24e-459a-b78d-d323760a6c8b,true,,,
true,parasite of,,6788,,Parasitizing: (Interaction),"Any parasitic relationship - usually parasites ""steal and leave"" rather than ""eat and kill""  (please add the url for the other observation)",6788,7461,4848a105-e8d0-404d-b4d5-deb157f5919b,true,,,
true,interacts with,,3345,,Attached to: (Interaction),Attached in any way - including hitchhikers and freeloaders  (please add the url for the other observation),3345,7463,6d34f5b9-2a69-40da-bebd-6e5ff7e204d0,true,,,
true,interacts with,,1665,,Carrying: (Interaction),"Carrying, dragging or moving - active only please : if passively transported rather using attached to (please add the url for the other observation)",1665,7462,3376fcd8-f119-4777-ba9e-8116bf5d3579,true,,,
,,interacts with,415003,http://purl.obolibrary.org/obo/RO_0002437,Host Plant ID,Host of a herbivore or parasite species,415003,6586,43e68301-4944-48d6-b9a0-013f822621c0,,Host Plant ID,,https://www.inaturalist.org/observation_fields/6586
,visits flowers of,eats,194030,http://purl.obolibrary.org/obo/RO_0002470,Nectar / Pollen delivering plant,Flowering plant being visited,194030,4935,81b5b3ad-ce61-4183-b256-9683680e2a76,,Nectar / Pollen delivering plant,,https://www.inaturalist.org/observation_fields/4935
,,visits,182035,http://purl.obolibrary.org/obo/RO_0002618,Name of Associated Plant,"For animals that were observed interacting with a plant, please list the plant species (or the most accurate taxa possible) below.",182035,7807,4f77d481-399b-4f97-8b33-2947f1bac73c,,Name of Associated Plant,,https://www.inaturalist.org/observation_fields/7807
